sigla_uf;ano;classe_consumo;fonte_imputada;potencia_kw;qtd_empreendimentos;ano_parcial
AC;2016;Comercial;False;34.5;2;False
AC;2016;Residencial;False;2.0;1;False
AC;2017;Comercial;False;92.72;3;False
AC;2017;Residencial;False;100.09;12;False
AC;2018;Comercial;False;213.44;7;False
AC;2018;Industrial;False;34.32;1;False
AC;2018;Residencial;False;181.58;22;False
AC;2019;Comercial;False;1585.49;30;False
AC;2019;Industrial;False;20.1;1;False
AC;2019;Residencial;False;837.97;96;False
AC;2019;Rural;False;39.4;6;False
AC;2020;Comercial;False;2331.19;75;False
AC;2020;Industrial;False;143.0;3;False
AC;2020;Residencial;False;3217.34;407;False
AC;2020;Rural;False;364.86;18;False
AC;2020;Serviço Público;False;12.0;1;False
AC;2021;Comercial;False;6501.28;190;False
AC;2021;Industrial;False;361.36;5;False
AC;2021;Poder Público;False;820.5;7;False
AC;2021;Residencial;False;8584.28;1147;False
AC;2021;Rural;False;533.61;63;False
AC;2022;Comercial;False;6844.73;192;False
AC;2022;Industrial;False;1030.0;7;False
AC;2022;Poder Público;False;353.35;4;False
AC;2022;Residencial;False;11362.27;1491;False
AC;2022;Rural;False;1021.89;96;False
AC;2023;Comercial;False;8403.8;212;False
AC;2023;Industrial;False;444.5;7;False
AC;2023;Poder Público;False;1150.0;3;False
AC;2023;Residencial;False;11699.63;1356;False
AC;2023;Rural;False;1479.97;94;False
AC;2024;Comercial;False;9333.45;360;False
AC;2024;Industrial;False;266.84;7;False
AC;2024;Poder Público;False;564.0;6;False
AC;2024;Residencial;False;35279.77;4086;False
AC;2024;Rural;False;1752.86;188;False
AC;2025;Comercial;False;10105.0;417;False
AC;2025;Industrial;False;577.0;9;False
AC;2025;Poder Público;False;247.5;5;False
AC;2025;Residencial;False;42297.29;4848;False
AC;2025;Rural;False;2465.74;246;False
AC;2025;Serviço Público;False;30.0;1;False
AC;2026;Comercial;False;5545.35;232;True
AC;2026;Industrial;False;505.5;8;True
AC;2026;Poder Público;False;357.5;7;True
AC;2026;Residencial;False;26529.2;3131;True
AC;2026;Rural;False;1779.2;209;True
AL;2015;Comercial;False;82.36;3;False
AL;2015;Residencial;False;10.71;1;False
AL;2016;Comercial;False;19.6;1;False
AL;2016;Industrial;False;70.0;1;False
AL;2016;Residencial;False;74.32;12;False
AL;2017;Comercial;False;193.63;9;False
AL;2017;Residencial;False;185.64;28;False
AL;2017;Rural;False;11.56;2;False
AL;2018;Comercial;False;1184.49;34;False
AL;2018;Industrial;False;84.0;3;False
AL;2018;Residencial;False;670.28;125;False
AL;2018;Rural;False;1.0;1;False
AL;2019;Comercial;False;3561.72;151;False
AL;2019;Industrial;False;560.12;10;False
AL;2019;Poder Público;False;210.68;6;False
AL;2019;Residencial;False;2853.48;423;False
AL;2019;Rural;False;494.65;12;False
AL;2020;Comercial;False;10720.84;333;False
AL;2020;Industrial;False;839.22;15;False
AL;2020;Poder Público;False;505.84;26;False
AL;2020;Residencial;False;8113.58;1159;False
AL;2020;Rural;False;1833.48;42;False
AL;2021;Comercial;False;15942.54;621;False
AL;2021;Industrial;False;1128.35;24;False
AL;2021;Poder Público;False;379.0;18;False
AL;2021;Residencial;False;19021.71;2733;False
AL;2021;Rural;False;1109.86;67;False
AL;2021;Serviço Público;False;142.0;2;False
AL;2022;Comercial;False;30000.22;1031;False
AL;2022;Industrial;False;3181.84;56;False
AL;2022;Poder Público;False;150.13;14;False
AL;2022;Residencial;False;50276.9;7061;False
AL;2022;Rural;False;4036.11;177;False
AL;2023;Comercial;False;42229.5;1189;False
AL;2023;Industrial;False;7634.77;84;False
AL;2023;Poder Público;False;1280.45;18;False
AL;2023;Residencial;False;63012.41;8441;False
AL;2023;Rural;False;5278.45;275;False
AL;2024;Comercial;False;45071.21;1186;False
AL;2024;Iluminação pública;False;15.0;1;False
AL;2024;Industrial;False;34497.54;97;False
AL;2024;Poder Público;False;990.6;19;False
AL;2024;Residencial;False;103358.91;13583;False
AL;2024;Rural;False;5528.0;395;False
AL;2025;Comercial;False;27437.77;870;False
AL;2025;Industrial;False;17766.86;73;False
AL;2025;Poder Público;False;1439.79;36;False
AL;2025;REBR;False;1577.5;284;False
AL;2025;Residencial;False;77553.47;10503;False
AL;2025;Rural;False;3706.91;298;False
AL;2025;Serviço Público;False;111.0;2;False
AL;2026;Comercial;False;7495.34;371;True
AL;2026;Industrial;False;532.3;20;True
AL;2026;Poder Público;False;305.0;6;True
AL;2026;REBR;False;4265.18;773;True
AL;2026;Residencial;False;41479.3;5004;True
AL;2026;Rural;False;1641.9;113;True
AM;2015;Comercial;False;26.52;2;False
AM;2016;Industrial;False;2.86;1;False
AM;2016;Residencial;False;23.98;3;False
AM;2017;Comercial;False;37.2;1;False
AM;2017;Residencial;False;184.49;18;False
AM;2018;Comercial;False;125.62;8;False
AM;2018;Industrial;False;40.0;1;False
AM;2018;Poder Público;False;6.0;1;False
AM;2018;Residencial;False;532.08;67;False
AM;2018;Rural;False;15.84;2;False
AM;2019;Comercial;False;1668.97;51;False
AM;2019;Industrial;False;90.0;2;False
AM;2019;Poder Público;False;4.16;1;False
AM;2019;Residencial;False;3301.28;363;False
AM;2019;Rural;False;18.03;3;False
AM;2020;Comercial;False;6847.35;126;False
AM;2020;Industrial;False;472.46;11;False
AM;2020;Poder Público;False;81.34;4;False
AM;2020;Residencial;False;6515.06;728;False
AM;2020;Rural;False;132.2;4;False
AM;2021;Comercial;False;15613.39;278;False
AM;2021;Industrial;False;804.87;19;False
