sigla_uf;cod_uf;nome_uf;regiao;populacao;qtd_empreendimentos;potencia_mw;watts_por_habitante;empreendimentos_por_100k_hab;pct_imputados
MT;51;Mato Grosso;Centro-Oeste;3658649;239109;3158.606;863.3;6535.4;0.0
MS;50;Mato Grosso do Sul;Centro-Oeste;2757013;175131;1885.932;684.0;6352.2;0.0
TO;17;Tocantins;Norte;1511460;65917;746.291;493.8;4361.1;0.01
RO;11;Rondônia;Norte;1581196;66759;778.249;492.2;4222.1;0.0
PR;41;Paraná;Sul;11444380;331082;4342.424;379.4;2893.0;0.0
ES;32;Espírito Santo;Sudeste;3833712;109593;1361.715;355.2;2858.7;0.0
RS;43;Rio Grande do Sul;Sul;10882965;427746;3854.856;354.2;3930.4;0.0
GO;52;Goiás;Centro-Oeste;7056495;186657;2414.363;342.1;2645.2;0.0
RN;24;Rio Grande do Norte;Nordeste;3302729;124095;1064.324;322.3;3757.3;0.01
AP;16;Amapá;Norte;733759;19455;225.323;307.1;2651.4;0.0
SC;42;Santa Catarina;Sul;7610361;199376;2302.489;302.5;2619.8;0.01
MG;31;Minas Gerais;Sudeste;20539989;448824;6025.992;293.4;2185.1;0.0
MA;21;Maranhão;Nordeste;6776699;165020;1888.608;278.7;2435.1;44.45
PI;22;Piauí;Nordeste;3271199;90567;873.004;266.9;2768.6;0.0
AC;12;Acre;Norte;830018;19319;207.437;249.9;2327.5;0.0
BA;29;Bahia;Nordeste;14141626;327544;2972.234;210.2;2316.2;0.0
AL;27;Alagoas;Nordeste;3127683;57842;651.859;208.4;1849.4;0.0
PA;15;Pará;Norte;8120131;162823;1676.434;206.5;2005.2;0.0
DF;53;Distrito Federal;Centro-Oeste;2817381;35928;580.469;206.0;1275.2;0.0
CE;23;Ceará;Nordeste;8794957;152694;1807.366;205.5;1736.2;0.0
RR;14;Roraima;Norte;636707;8897;121.296;190.5;1397.3;0.0
PE;26;Pernambuco;Nordeste;9058931;172125;1567.474;173.0;1900.1;0.04
SP;35;São Paulo;Sudeste;44411238;784355;7562.115;170.3;1766.1;0.0
PB;25;Paraíba;Nordeste;3974687;57491;672.624;169.2;1446.4;0.0
SE;28;Sergipe;Nordeste;2210004;26865;313.153;141.7;1215.6;0.0
RJ;33;Rio de Janeiro;Sudeste;16055174;199078;1946.096;121.2;1240.0;0.0
AM;13;Amazonas;Norte;3941613;18071;327.165;83.0;458.5;0.0
