DatGeracaoConjuntoDados;AnmPeriodoReferencia;NumCNPJDistribuidora;SigAgente;NomAgente;CodClasseConsumo;DscClasseConsumo;CodSubGrupoTarifario;DscSubGrupoTarifario;CodUFibge;SigUF;CodRegiao;NomRegiao;CodMunicipioIbge;NomMunicipio;CodCEP;SigTipoConsumidor;CodEmpreendimento;DthAtualizaCadastralEmpreend;SigModalidadeEmpreendimento;DscModalidadeHabilitado;QtdUCRecebeCredito;SigTipoGeracao;DscFonteGeracao;DscPorte;MdaPotenciaInstaladaKW;NomSubEstacao;NumCoordESub;NumCoordNSub
2026-08-19;08/2026;04065033000170;EAC;ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A;CO;Comercial;;B3;12;AC;2;Norte;1200401;Rio Branco;69912452  ;PJ;GD.AC.000.000.590;2016-08-31;;Geracao na propria UC;1;UFV;Radiação solar;Microgeracao;32,50;;;
2026-08-19;08/2026;04065033000170;EAC;ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A;CO;Comercial;;B3;12;AC;2;Norte;1200401;Rio Branco;69900273  ;PJ;GD.AC.000.001.540;2016-10-31;;Geracao na propria UC;1;UFV;Radiação solar;Microgeracao;2,00;;;
2026-08-19;08/2026;04065033000170;EAC;ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A;RE;Residencial;;B1;12;AC;2;Norte;1200401;Rio Branco;69919***;PF;GD.AC.000.001.552;2016-08-25;;Geracao na propria UC;1;UFV;Radiação solar;Microgeracao;2,00;;;
2026-08-19;08/2026;04065033000170;EAC;ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A;RE;Residencial;;B1;12;AC;2;Norte;1200401;Rio Branco;69917***;PF;GD.AC.000.009.608;2017-03-09;;Geracao na propria UC;1;UFV;Radiação solar;Microgeracao;5,00;;;
2026-08-19;08/2026;04065033000170;EAC;ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A;RE;Residencial;;B1;12;AC;2;Norte;1200401;Rio Branco;69919***;PF;GD.AC.000.017.465;2017-07-29;;Geracao na propria UC;1;UFV;Radiação solar;Microgeracao;5,00;;;
2026-08-19;08/2026;04065033000170;EAC;ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A;RE;Residencial;;B1;12;AC;2;Norte;1200401;Rio Branco;69919***;PF;GD.AC.000.017.466;2017-10-05;;Auto consumo remoto;2;UFV;Radiação solar;Microgeracao;8,20;;;
2026-08-19;08/2026;04065033000170;EAC;ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A;RE;Residencial;;B1;12;AC;2;Norte;1200401;Rio Branco;69917***;PF;GD.AC.000.017.513;2017-11-22;;Geracao na propria UC;1;UFV;Radiação solar;Microgeracao;3,00;;;
2026-08-19;08/2026;04065033000170;EAC;ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A;RE;Residencial;;B1;12;AC;2;Norte;1200401;Rio Branco;69918***;PF;GD.AC.000.023.039;2017-12-01;;Geracao na propria UC;1;UFV;Radiação solar;Microgeracao;10,40;;;
2026-08-19;08/2026;04065033000170;EAC;ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A;RE;Residencial;;B1;12;AC;2;Norte;1200401;Rio Branco;69918***;PF;GD.AC.000.023.041;2018-01-03;;Geracao na propria UC;1;UFV;Radiação solar;Microgeracao;5,00;;;
2026-08-19;08/2026;04065033000170;EAC;ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A;RE;Residencial;;B1;12;AC;2;Norte;1200401;Rio Branco;69919***;PF;GD.AC.000.023.042;2017-12-26;;Geracao na propria UC;1;UFV;Radiação solar;Microgeracao;6,50;;;
